created_at;account.id;in_reply_to_account_id;
2018-04-17T22:25:08.364Z;573;-1;
2018-04-17T22:21:51.000Z;2369;-1;
2018-04-17T22:18:35.156Z;398;-1;
2018-04-17T22:16:46.000Z;652;-1;
2018-04-17T22:14:36.034Z;571;-1;
2018-04-17T22:14:02.988Z;159;159;
2018-04-17T22:10:15.000Z;2367;-1;
2018-04-17T22:09:34.374Z;159;159;
2018-04-17T22:09:15.000Z;2368;-1;
2018-04-17T22:09:15.000Z;720;-1;
2018-04-22T12:02:22.000Z;766;-1;
2018-04-22T11:59:22.000Z;1001;-1;
2018-04-22T11:38:22.000Z;1663;-1;
2018-04-22T11:14:52.000Z;2729;-1;
2018-04-22T10:33:19.000Z;2751;-1;
2018-04-22T10:31:54.000Z;684;-1;
2018-04-22T10:25:48.000Z;2906;-1;
2018-04-22T09:36:13.002Z;398;-1;
2018-04-22T09:32:43.000Z;782;-1;
2018-04-22T08:59:51.000Z;430;-1;
2018-04-22T08:59:44.424Z;551;-1;
2018-04-22T08:53:51.000Z;601;-1;
2018-04-22T08:35:46.374Z;568;-1;
2018-04-22T08:18:3900Z;601;601;
2018-04-22T08:16:55.000Z;601;-1;
2018-04-22T08:05:35.000Z;1740;-1;
2018-04-22T08:01:38.348Z;159;-1;
2018-04-22T08:01:23.183Z;390;-1;
2018-04-22T07:54:46.482Z;159;-1;
2018-04-22T07:50:37.000Z;1263;-1;
2018-04-22T07:47:31.000Z;857;-1;
2018-04-22T07:45:08.000Z;2722;-1;
2018-04-22T07:42:44.043Z;159;-1;
2018-04-22T07:35:25.351Z;390;-1;
2018-04-22T07:32:43.803Z;101;-1;
2018-04-22T07:29:17.000Z;775;-1;
2018-04-22T07:20:35.071Z;159;-1;
2018-04-22T07:12:48.227Z;487;487;
2018-04-22T07:12:00.423Z;487;487;
2018-04-22T07:10:26.085Z;487;-1;
2018-04-22T07:07:04.256Z;159;-1;
2018-04-22T06:59:45.000Z;899;-1;
2018-04-22T06:56:10.258Z;159;-1;
2018-04-22T06:46:57.976Z;159;-1;
2018-04-22T06:32:10.483Z;159;-1;
2018-04-22T06:25:26.358Z;159;-1;
2018-04-22T06:06:52.452Z;159;159;
2018-04-22T06:03:35.000Z;822;-1;
2018-04-17T13:56:02.000Z;631;-1;
2018-04-17T13:54:44.000Z;1276;-1;
2018-04-17T13:52:29.614Z;568;-1;
2018-04-17T13:52:20.639Z;565;-1;
2018-04-17T13:50:59.000Z;632;-1;
2018-04-17T13:42:11.000Z;440;-1;
2018-04-17T13:38:21.456Z;2319;-1;
2018-04-17T13:36:1400Z;734;734;
2018-04-17T13:31:03.000Z;734;-1;
2018-04-17T13:29:31.269Z;398;-1;
2018-04-17T13:24:32.674Z;159;-1;
2018-04-17T13:22:06.000Z;42;-1;
2018-04-17T13:21:50.887Z;159;-1;
2018-04-17T13:19:07.455Z;565;-1;
2018-04-17T13:14:16.551Z;159;-1;
2018-04-17T13:09:44.000Z;2310;-1;
2018-04-17T13:07:59.782Z;159;-1;
2018-04-17T13:03:57.742Z;573;-1;
2018-04-17T13:01:43.922Z;574;574;
2018-04-17T13:00:13.512Z;574;-1;
2018-04-17T13:00:04.000Z;2308;-1;
2018-04-17T12:58:45.000Z;2198;-1;
2018-04-17T12:56:02.661Z;574;-1;
2018-04-17T12:45:29.000Z;1511;-1;
2018-04-17T12:41:29.067Z;568;-1;
2018-04-17T12:38:13.000Z;1485;-1;
2018-04-17T12:23:30.000Z;2309;-1;
2018-04-17T12:21:19.000Z;953;-1;
2018-04-17T12:16:52.329Z;6;-1;
2018-04-17T12:03:52.000Z;817;-1;
2018-04-17T11:57:55.000Z;2306;-1;
2018-04-17T11:52:27.000Z;632;-1;
2018-04-17T11:51:18.480Z;159;-1;
2018-04-17T11:43:15.000Z;2304;-1;
2018-04-17T11:42:05.000Z;1485;-1;
2018-04-17T11:39:09.750Z;159;-1;
2018-04-17T11:38:55.000Z;294;-1;
2018-04-17T11:33:20.649Z;159;-1;
2018-04-24T18:27:19.000Z;664;-1;
2018-04-24T18:27:1600Z;1095;1095;
2018-04-24T18:23:34.000Z;2867;-1;
2018-04-24T18:22:41.000Z;1095;-1;
2018-04-24T18:21:25.000Z;835;-1;
2018-04-24T18:13:56.696Z;2319;-1;
2018-04-24T18:13:21.000Z;2920;-1;
2018-04-24T18:13:06.360Z;159;159;
2018-04-24T18:05:1613Z;159;159;
2018-04-24T18:04:21.931Z;159;-1;
2018-04-24T18:02:51.000Z;2912;-1;
2018-04-24T18:00:17.000Z;2277;-1;
2018-04-24T17:57:45.928Z;159;-1;
2018-04-24T17:57:17.795Z;566;-1;
2018-04-24T17:51:5700Z;356;356;
2018-04-24T17:51:1800Z;356;356;
2018-04-24T17:50:50.000Z;582;-1;
2018-04-24T17:50:40.000Z;720;-1;
2018-04-24T17:50:36.000Z;356;-1;
2018-04-24T17:47:59.907Z;8;-1;
2018-04-24T17:45:59.000Z;428;-1;
